Create Date,Status Indicator,Outage Start Date,Outage End Date,Description of Outage,IT Area,Impact Category
9/2/2016 9:24,Reviewed,9/2/2016,9/2/2016,"BPT database down. Oracle alert log states following error:

WARNING: aiowait timed out 2 times

This is due to aynchronous I/O problems at the O/S level. Per Ram: this is from bad disk.

Information from Oracle metalink suggests there may be TEMPORARY fix. Below are some things to investigate:

1) Need to investigate the aynchronous I/O problems at the O/S level by
the O/S vendor(may be need to be apply O/S patches to fix known
Asynchronous I/O problems.)
2) Need to investigate the networking (request timeout/latency problem) etc.
3) checking Asynchronous I/O is correctly configured at OS level as well
as with storage.
4) Allocate more memory to the Database SGA, PGA (Buffer Cache and Sort
Areas to reduce I/O from/to datafiles and temporary tablespaces).

Warning ""aiowait timed out x times"" in alert.log (Doc ID 222989.1)	To BottomTo Bottom	


Checked for relevance on 10-Mar-2009

PURPOSE
-------

This document explains the meaning of the alert.log message

WARNING: aiowait timed out 1 times

and suggests ways of addressing the reasons behind this message.
 

SCOPE & APPLICATION
-------------------

The intended audience of this document is Database Administrators
and Support Engineers.


AIOWAIT WARNING
---------------
 
When the above message is produced in alert.log, the database may also appear to be hanging.

The message indicates that Oracle has encountered problems while trying to perform asynchronous I/O.

When the Oracle instance is configured to run with asynchronous I/O (disk_asynch_io = true), it will use the aiowait system call to obtain the completion status of such I/Os. 

This is called with a timeout of 10 minutes which is a lot more time than should be needed for a disk I/O operation even on a very busy system.

If this call times out it indicates a severe problem with asynchronous I/Os at the system level. For example, it can mean that an I/O was lost (Oracle had issued it and was waiting for it to be completed but the O/S has no record of it).

The above message will be written to alert.log. What happens next depends on the exact version of Oracle.

In versions previous to Oracle 8.1.7.2, DBWR may terminate theinstance with error ORA-27062.

The following will appear in alert.log:
WARNING: aiowait timed out 1 times 
DBW2: terminating instance due to error 27062 
Instance terminated by DBW2, pid = 9994 
There will also be a message in DBWR's tracefile:
WARNING: aiowait timed out 1 times 
error 27062 detected in background process 

In subsequent versions the instance will not be terminated but instead the aiowait call will be repeated up to 100 times, with the same 10 minute timeout each time and the same warning being reported in alert.log whenever it times out. The instance will only be terminated after 1000 minutes (ie, 100 retries with 10 minute timeout each).

This is done in order to give time to investigate the aynchronous I/O problems at the O/S level by the O/S vendor.




WHAT TO DO
----------

When the condition described above is happening, most often the only way out is to restart the database and try to prevent it from happening again until the problem is fixed.

There are a number of actions that can be done to deal with this problem:


#1) Restart the database without asynchronous I/O

This is not an ideal solution and will only serve as a workaround until the underlying problem with asynchronous I/O is identified and fixed at the O/S level.

To operate without asynchronous I/O set the init.ora parameter
disk_asynch_io = false

At the same time you should also set the following parameter
dbwr_io_slaves
to a value other than 0. This will allow Oracle to simulate asynchronous I/O through usage of multiple I/O slave processes where each such process performs I/O synchronously.

**FYI: If you are on 8.1.7 and USING RMAN on multiple channels with
       dbwr_io_slaves > 0 you could encounter Bug:2614191.",,
8/30/2016 12:27,Reviewed,8/30/2016,8/30/2016,The website was not accessible from the outside.,Web / Portal Team,
8/30/2016 8:49,Reviewed,8/30/2016,8/30/2016,"The District's website could not be accessed from the outside, only internally.",Web / Portal Team,
8/31/2016 8:59,Reviewed,8/30/2016,8/30/2016,"database for LIMS/IPACS went down, users called Roger Smith at 10:25 PM, Roger and Ray McCague began to investigate and resolve problem. Database was back up within 35-40 minutes, users were notified to log back in.",,
8/26/2016 15:06,Reviewed,8/26/2016,8/26/2016,Almost 8 Minutes MWRD.ORG  portal host service are not available   to external users of MWRD network. Internal users are not having to Portal. Issue is only for external users.,Web / Portal Team,
10/11/2016 8:55,Reviewed,8/26/2016,8/26/2016,Guest WIFI could not get a signal from Cell tower,Network Infrastructure,
8/24/2016 8:01,Reviewed,8/23/2016,8/24/2016,GIS Services disconnected multiple times evening 8/23,GIS,
8/22/2016 12:02,Reviewed,8/22/2016,8/22/2016,GIS Services non-responsive.,GIS,
8/22/2016 11:36,Reviewed,8/20/2016,8/22/2016,GIS Services non-responsive.  Occurred 5 or 6 times over the weekend,GIS,
8/22/2016 12:06,Reviewed,8/19/2016,8/19/2016,SAP was producing ABAP dumps related to MSSQLServer and Active Directory connection. Outage lasted from 11:00 am - 11:25 am.,ERP / SAP,
8/19/2016 16:31,Reviewed,8/19/2016,8/19/2016,Reboot of GISPUBINT at noon to upgrade server memory and install new version of VMware tools. (planned),Network Operations (Server / SAN),
8/18/2016 14:00,Reviewed,8/18/2016,8/18/2016,http://GISPUBINT:6080 error 102 ERR_CONNECTION_REFUSED.  This caused the ArcGIS Services on GISPUB.mwrd.org to be unavailable,GIS,
8/18/2016 13:52,Reviewed,8/18/2016,8/18/2016,Web Adaptor on GISPUBINT unavailable,GIS,
8/18/2016 10:25,Reviewed,8/18/2016,8/18/2016,"The REST endpoint on GISPUB.mwrd.org was unavailable.  This affects all applications that consume services hosted on GISPUB including SSMP iOS, Floatable Log, CIR, incident reporting (public), SWIMA, Biosolids Inspections, IWD, CSO Viewer, Rain Gauge Viewer",GIS,
8/17/2016 13:41,Reviewed,8/17/2016,8/17/2016,The ArcGIS WebAdaptor REST Endpoint was unavailable (accessing it threw a 500 error),GIS,
8/17/2016 14:51,Reviewed,8/17/2016,8/17/2016,Disconnect between MSSQLServer and Active Directory,ERP / SAP,
8/17/2016 11:41,Reviewed,8/16/2016,8/16/2016,Disconnect between MSSQLServer and Active Directory,ERP / SAP,
8/23/2016 10:04,Reviewed,8/11/2016,8/18/2016,"ATT PRI went out of service. First reported 9am on Thursday August 11, 2016",Network Infrastructure,
8/17/2016 11:40,Reviewed,8/11/2016,8/11/2016,Disconnect between MSSQLServer and Active Directory,ERP / SAP,
8/23/2016 9:12,Reviewed,8/9/2016,8/15/2016,Power to the IP Phone network on the east side of the Stickney plant was cut due to non-related work. Once power was restored equipment did not come back up.,Network Infrastructure,
8/9/2016 15:04,Reviewed,8/9/2016,8/9/2016,"symantec endpoint protection was installed on the server.  It is required that the server restarted so the configurations can be applied to the server, It will be restarted at 10 p.m. to 10:02 p.m.",Network Operations (Server / SAN),
8/9/2016 8:34,Reviewed,8/9/2016,8/9/2016,Internal district website went down. System was back up at 8:32 am,ERP / SAP,
8/9/2016 8:19,Reviewed,8/8/2016,8/8/2016,District Website was not accessible.,ERP / SAP,
8/5/2016 13:49,Reviewed,8/5/2016,8/5/2016,IISMWRD was restarted due to corruption of default user profile on the server.,Network Operations (Server / SAN),
8/3/2016 12:38,Reviewed,8/3/2016,8/3/2016,Virtual server MFPDMGR became unresponsive and was not excepting logins.  Server/SAN team logged in and the server showed excessive CPU utilization.,Multi-Team (Indicate groups in Additional Information),
8/17/2016 11:39,Reviewed,7/20/2016,7/20/2016,Disconnect between MSSQLServer and Active Directory,ERP / SAP,
7/18/2016 9:17,Reviewed,7/17/2016,7/17/2016,"MOBA 2nd Floor telephone room started to overheat. MWRD were reminded they need to include this room on their rounds & check temp.  They noticed this room started to over heat around 5am and counted Mike Rountree, 111 Building Engineer. Mike reported to the building and reset the AC unit. Once reset it started to cool.",Network Infrastructure,
7/18/2016 9:13,Reviewed,7/16/2016,7/16/2016,"MOBA 2nd floor telephone room started to overheat. Rich Piotrowski received temp notifications from APC EMU and contract Mike Rountree, 111 Building Engineer. Mike reported downtown to take a look at AC unit.",Network Infrastructure,
7/15/2016 9:43,Reviewed,7/15/2016,7/15/2016,User reported unable to log into the iPACS Production System.,Multi-Team (Indicate groups in Additional Information),
7/15/2016 9:40,Reviewed,7/15/2016,7/15/2016,"Users could not log into SampleManager LIMS Production System.  Oracle error message code 12514op0, ORA-12514.",Multi-Team (Indicate groups in Additional Information),
7/15/2016 7:48,Reviewed,7/15/2016,7/15/2016,AC unit for MOBA main telephone room on the 2nd floor compressor went out of service around 2am.  When i woke up at 5 i noticed the emails and contacted the building engineer. As soon as the building engineer arrived on site for the day he reset the unit.,Network Infrastructure,
7/15/2016 7:43,Reviewed,7/14/2016,7/14/2016,AC unit for MOBA main telephone room on the 2nd floor compressor went out of service.,Network Infrastructure,
7/18/2016 19:22,Reviewed,7/14/2016,7/14/2016,Switch failure in OWRP service building.,Network Infrastructure,
7/11/2016 16:47,Reviewed,7/11/2016,7/11/2016,ccSVChost.exe was utilizing a large percentage of cpu usage preventing business objects from completing request for crystal reports. shut down crystal report services and let ccSVChost.exe complete its jobs.,ERP / SAP,
7/8/2016 9:30,Reviewed,7/8/2016,7/8/2016,Saved data not displaying in the User Charge Module in iPACS Production System.,Multi-Team (Indicate groups in Additional Information),
7/8/2016 9:01,Reviewed,7/5/2016,7/6/2016,Voice T1 between SWRP and LASMA went down.  As a result the phones at LASMA go down as well.,Network Infrastructure,
7/7/2016 16:06,Reviewed,7/4/2016,7/5/2016,"On July 4th 2016 AC unit went out and temp in main tele room went to 112 degrees at one point in the day. I received a call around 815pm on Monday from the MOB control room informing me all phones were out of service.  Kevin Mika also called stating Rich told him to come in to take care of situation. When Kevin arrived temp was 97 degrees and both call servers were powered off.  As a result of the high temp the MOB call servers shutdown in order to protect hardware. At this time voicemail was tested from cell phones and everything was functioning correctly.  Doors were opened, AC was restarted and once the temp was brought down to low 90s/high 80s the call servers were started back up.  Phone service was restored and the temp continued to drop. At this point we left.  On Tuesday it was discovered users could not check their voicemail via 5-digit ext 15858. A work around was established until a reboot was completed.  


Voicemail was not accepting calls from 5-digit number.",Network Infrastructure,
7/7/2016 16:58,Reviewed,7/2/2016,7/2/2016,MOBA Phone Room AC went out.  As a result UPS battery started to overheat.,Network Infrastructure,
7/7/2016 10:41,Reviewed,7/2/2016,7/2/2016,UPS at MOBA 2nd floor communication room reported a battery tray was bad and causing excessive heat.,Network Infrastructure,
7/1/2016 12:56,Reviewed,6/30/2016,6/30/2016,Exchange Online updates caused Mailflow to be delayed,Network Operations (Server / SAN),
6/15/2016 9:03,Reviewed,6/6/2016,6/8/2016,Lights went out,Multi-Team (Indicate groups in Additional Information),
2/8/2017 9:14,Reviewed,2/8/2016,2/8/2016,Intermittent network connectivity between apps.mwrd.org and SQL01A. Contract Announcement application and Rainviewer app not working,Multi-Team (Indicate groups in Additional Information),
