Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
,Completed,06/27/17 10:43 AM,web-form@smartsheet.com,Ervin Cheng,Verify no conflicts with scheduled MOB/C Internet /web upgrade on 7/13,07/13/17,5 to 9 p.m,"MS Patching for operations servers.  kcsserver.mwrd.local, mfpdmgr2.mwrd.local, sv-passagepoint.mwrd.local, mfpdmgr3.mwrd.local, dbfs.mwrd.local, sv-autocad-ls.mwrd.local, mobwsus.mwrd.local, beta.mwrd.local, eyesite1.mwrd.local, eyesite2.mwrd.local, eyesite3.mwrd.local, wins.mwrd.local, alpha.mwrd.local, telmon.mwrd.local, mwrdcert.mwrd.local wsw-prntmgr.mwrd.local, fs-sandbox2.mwrd.local, usb-keymgr.mwrd.local, delta.mwrd.local, wsw-exch2013.mwrd.local, wsw-exch-cas01.mwrd.local, wsw-exch-mb02.mwrd.local, 
wsw-exch-mb01.mwrd.local","Fax, printers and copiers, telephone management, lims, readsoft, ipacs database backups, video conferencing, wins, domain controllers, active directory, and on-prem email relays.",Network Operations (Server / SAN),,critical and security patches,Security,Ervin Cheng,"1) apply patch
2) restart system
3) confirm patch 
4) test system

BACK OUT PLAN: 
1) unapply patch
2) restart system
3) test system",
,Completed,06/20/17 2:07 PM,web-form@smartsheet.com,Roger Smith,RESCHEDULED - 7/12/17 @ 4:30p,07/12/17,3:30 PM,apply OS patches to FileMaker server 3 (FS1),FileMaker server 3 will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply OS patches,Fix / Patch,Roger Smith,"1) apply patches
2) reboot server
3) make sure FileMaker is available on server
...

BACK OUT PLAN: 
restore from snapshot",
,Completed,06/27/17 1:53 PM,web-form@smartsheet.com,John Reichling,Please shut it down and schedule it for removal after 90 days of downtime or at an agreeable amount of time you work out with Sean or Rich.,07/11/17,anytime,WSW-PRNTMGR Shutdown and decommission,none,Network Operations (Server / SAN),,This Windows 2003 server has no roles defined,Enhancement,Semaj Wright,"1) Please shut it down 
2) Removal 
3)
...

BACK OUT PLAN: 
....",
,Completed,06/20/17 2:05 PM,web-form@smartsheet.com,Roger Smith,RESCHEDULED - 7/11/17 @ 4:30p,07/11/17,3:30 PM,apply OS patches to FileMaker server 2 (FS2),FileMaker Server 2 will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply OS patches,Fix / Patch,Roger Smith,"1) apply patches
2) reboot server
3) make sure FileMaker is available 
...

BACK OUT PLAN: 
restore from snapshot",
,Completed,07/06/17 10:07 AM,web-form@smartsheet.com,Ethan Warren,these machines are VERY OLD...,07/07/17,11:45 am - 12:15 pm   half and hour,replace the g-bic 1000BaseSX G3/5 on the SWRP_6506-01 after hours and see if that resolves the issue.,"These switches will go down and wireless AP will go down:

SWRP_W302_3560-48_01#sh cdp nei det | incl SWRP|ress:
Device ID: SWRP-STOREROOM-3502.mwrd.local
  IP address: 10.240.6.13
  IPv6 address: FE80::72CA:9BFF:FE99:CB7  (link-local)
  IP address: 10.240.6.13
Device ID: SWRP_STOREROOM_2940.mwrd.local
  IP address: 10.44.3.45
  IP address: 10.44.3.45
Device ID: SWRP_Purchasing_2960.mwrd.local
  IP address: 10.44.3.46
  IP address: 10.44.3.46
Device ID: SWRP_6506E-01.mwrd.local  G3/5 only
  IP address: 10.1.6.11
  IP address: 10.1.6.11
Device ID: SWRP_STOREROOM_EASTDOCK_2940.mwrd.local
  IP address: 10.44.3.47
  IP address: 10.44.3.47",Network Infrastructure,,reduce the communication errors between the storeroom SWRP_W302_3560-48_01 and the main core switch SWRP_6506E-01,Fix / Patch,Richard Wojkovich,"1) at the 6500 take out the fiber module g3/5
2) install a replacement fiber module into slot g3/5
3) watch and make sure everything works
...

BACK OUT PLAN: 
....replace the old module and watch everything come back up",TRUE
,Completed,06/27/17 12:01 PM,web-form@smartsheet.com,Thomas Muscarello,,07/07/17,330 p.m. - 5 hours,"Re-rack of voice equipment @ LASMA.  The voice, data & ups are in separate racks and contained in one small communications closet.  We need to re-rack all equipment into one rack and transfer all equipment to the new UPS.",Facility is closed at 315 and users will not be impacted.,Network Infrastructure,,We will remove all old equipment and confirm existing equipment is powered with the new UPS.,Enhancement,Thomas Muscarello,"1)Shut down voice & data equipment
2)Re-rack voice equipment in same rack as UPS
3)Re-run all voice & data power cables to new UPS
4)Power up all equipment and test voice & data communications
...

BACK OUT PLAN: 
no backing out",
,Completed,06/27/17 11:18 AM,web-form@smartsheet.com,Thomas Muscarello,"We plan to be on site the following day July 7, 2017 to montior for any issues.  If all is good we will complete a re-rack & clean up of all old equipment.",07/06/17,12 p.m. for 30 mins,transition voice communications @ LASMA from the point to point circuit to the new ASE circuit.,Phones will be unavailable for LASMA staff during the switch over.,Network Infrastructure,,This will provide LASMA staff with a reliable voice connection.  We can eliminate a point to point T1 as well.,Enhancement,Thomas Muscarello,"1)Confirm outage window with all LASMA staff.
2)Transition voice uplinks from dedicated T1 to ASE circuit.
3)Test communications to SWRP and all facilities.
4)Monitor communications for next 24 - 48 hours
...

BACK OUT PLAN: 
1)move voice uplinks back to dedicated T1 until any issues are resolved with ASE.",
,Completed,06/22/17 1:15 PM,web-form@smartsheet.com,John Reichling,Modify Step 7 to include small dev test of Auto-Upgrade from 12 to 14,07/06/17,Start time: Thursday 7:00 am; Total Duration including cleanup tasks = 2 days; End time: Friday 2:00 pm,"Symantec Endpoint Protection 12.1.5 In-place Upgrade on server SV-SEPM-PC1 to version 14 and all PC clients (Windows 10, Windows 7, and XP)",Symantec client on User's PC is silently upgraded from 12.1.5 (or 6) to 14.,"Desktop Engineering (Citrix, SCCM)",,Upgrade Symantec Endpoint Protection Management Server in order to push Symantec Antivirus client to Windows 10 devices.,Enhancement,Hussein Shamsuddin,"1) Verify Symantec server health and Symantec client count and reporting summary before upgrade
2) Back up Symantec local database and prepare all documentation files needed to perform disaster recovery
3) Verify local admin authentication account and password
4) Stop the Symantec Endpoint Protection Manager service
5) Run Symantec Endpoint Protection Manager Setup and finish upgrade
6) Verify Client Count noted before Upgrade and Existing policies changes
7) Upgrade the Symantec Endpoint Protection clients with AutoUpgrade
    7a-- Use Client Deployment Wizard if AutoUpgrade fails
8) Run License Wizard to ensure Symantec Endpoint Protection licenses are valid
9) Notify and verify with all Symantec Admin and Report Admins that they are able to login and administer the system.

BACK OUT PLAN: 
1) Run disaster recovery steps outlined in the disaster recovery document attached in the smartsheet plan and performed in step 2 above",
,Completed,07/06/17 11:36 AM,web-form@smartsheet.com,R. Beckman,,07/05/17,3:00 PM - 3:30 PM,update the view dbo.v_employee in mwrd_repo. This is to fix incident # 3825.,emails sent from the contract announcements will be correct.,Multi-Team (Indicate groups in Additional Information),,"incident #3825, one buyer is not getting emails from the contracts questions. The view update should return the correct email for this person, and everyone else.",Fix / Patch,Roger Smith,"1) update the query
2) run script to update permissions
3) user will test


BACK OUT PLAN:",
,Completed,06/28/17 2:27 PM,web-form@smartsheet.com,Richard Piotrowski,,07/03/17,"10:00a, 30 minutes","A Service Pack, Software Update for ManageEngine ADManager (VM ADMGR) is available.  See below link and email:
https://www.manageengine.com/products/ad-manager/service-pack.html?6580admprel

I downloaded the update file (6_5_0_SP-7) into the following folder location:
\\Tomcat\Info_Tech\operations\Infrastructure\ADManager_Plus\Updates

During this software upgrade, ADManager web console will be unavailable.  Please let me know how you would like to schedule/proceed with this software update.",Users of ManageEngine ADManager Software Web Console.  Support Desk and Infrastructure Staff.,Network Operations (Server / SAN),,Maintain latest software updates and features.,Fix / Patch,Patrick Kane,"1) Notify John Reichling of pending outage date/time/duratoin
2) Stop services on system ADMGR
3) Perform software patch installation
4) Verify path installation successful
5) Restart System
6) Start Services (automatically).  Verify connectivity/functionality
...

BACK OUT PLAN: 
Re-Apply previous service pack update (already downloaded)",
,Completed,12/03/16 7:29 PM,web-form@smartsheet.com,ervin cheng,,06/30/17,,MS patching for mms  & LIMS,"(Lims, IPACS-don), MMS, dashboard, GIS, and file maker pro application will be restarted during Stickney router upgrade",Network Operations (Server / SAN),,"More secure, bug free environment",Fix / Patch,ervin cheng,"1)  run MS Update
2)  restart server
3) Confirm server up and app running

BACK OUT PLAN: 

1) uninstall patch, verify system apps
2) if failed, use 3par to restore dataset.",
,Completed,06/26/17 2:30 PM,web-form@smartsheet.com,Roger Smith,,06/29/17,4:30 - 6:30,Update production dashboard packages to work with CData ; ADD: Windows Update and VMWare Nic update,All production dashboards will be down.,Multi-Team (Indicate groups in Additional Information),,update packages to retrieve SAP data,Fix / Patch,Roger Smith,"1) stop services
2) backup system
3) run scripts to update packages
4) start services
...

BACK OUT PLAN: 
restore from backup",
,Completed,06/14/17 10:51 AM,web-form@smartsheet.com,Ethan Warren,RESCHEDULED ; TASK CANCELED,06/28/17,3:45pm for 1 hour,Re-configure 6506-02 and SWRP_A135_3560cg8 to eliminate duplicate mac address errors on Nexus 5000 at SWRP,"SWRP safety training classroom in the basement,  cisco switch  SWRP_A135_3560cg8, TimeClock SWRP A133CORRIDOR BSMT,",Network Infrastructure,,eliminate duplicate mac address errors on Nexus 5000 at SWRP,Fix / Patch,Ethan Warren,"1) telnet into SWRP_1135_3560cg8 and configure g0/9 to trunk no access vlan 44
2) telnet into SWRP_6506E-02 and configure g1/7 to trunk no access vlan 44
3)
...

BACK OUT PLAN: return configuration of both ports to previous condition
....",
,Completed,06/21/17 12:39 PM,web-form@smartsheet.com,Patrick Sendera,RESCHEDULED to 7/6/2017,06/27/17,4AM.  Complete by 7AM,Install Windows Updates on production GIS servers and IISMWRD.  Catch up,"All GIS systems will be unavailable, public and internal.  All IISMWRD hosted apps will be unavailable",GIS,,Catch up on Windows patches,Security,Patrick Sendera,"1) Install patches
2) Reboot
3) Verify application functionality
...

BACK OUT PLAN: 
....",
,Completed,06/20/17 1:59 PM,web-form@smartsheet.com,Roger Smith,Ray will log Outage for this update noting needed changes to restore the server.  2) Will also log each dB app for each FileMaker Pro server and share with the CAB team.,06/26/17,3:30 PM,apply patches to Filemaker Pro server 1 (FS3),File Maker server 1 will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply os patches,Fix / Patch,Roger Smith,"1) apply patches
2) reboot server
3) make sure File Maker is available 
...

BACK OUT PLAN: restore from snapshot",
,Completed,06/21/17 10:42 PM,web-form@smartsheet.com,Ethan Warren,,06/22/17,4:00pm lasting 10 minutes.,Move inside firewall connections from 3650 WAN switch to 6506 core switch at Stickney.,None.  Firewalls are configured for failover to keep internet access available.,Network Infrastructure,,Move connections to a 1Gbps switch and finalize internet bandwidth upgrade from 50Mbps to 250Mbps.,Enhancement,Ethan Warren,"1) Install copper gbics in switchports for connectivity in the 6505.
2) Program switchports for correct VLAN and speed settings.
3) Move connections from old 3560 switch to 6506 switch.
...

BACK OUT PLAN: 
....

1) Move connections back to original location.",
,Completed,06/12/17 4:28 PM,web-form@smartsheet.com,Adrian Mason,Seans wants to review communication plan for overall LAN project ; RE_SCHEDULED,06/22/17,4:30 pm lasting approximately 1 hour.,Replace MOB first floor LAN switch.,"No PC, printer or time clock connectivity.",Network Infrastructure,,Provide back end throughput up to 10gb.,Enhancement,Ethan Warren,"1) Pre-configure new switch with current configuration from older switch.
2) Install new switch in rack
3) Move connections from old switch to new switch and test connectivity
...

BACK OUT PLAN: 
....
Revert back to existing switch if connectivity fails.",
,Completed,01/30/17 4:14 PM,web-form@smartsheet.com,,system down from 10:00pm - 2:00am,06/17/17,,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,05/30/17 11:42 AM,kellys2@mwrd.org,ervin cheng,Date is a place holder,06/17/17,,"MS patching for lims(done), ipacs(done)","(Lims, IPACS-don), MMS, dashboard, GIS, and file maker pro application will be restarted during Stickney router upgrade",Network Operations (Server / SAN),,"More secure, bug free environment",Fix / Patch,ervin cheng,"1)  run MS Update
2)  restart server
3) Confirm server up and app running

BACK OUT PLAN: 

1) uninstall patch, verify system apps
2) if failed, use 3par to restore dataset.",
,Completed,06/08/17 2:20 PM,web-form@smartsheet.com,Erin Keohane,,06/16/17,11:00 am - 2:00 pm,Upgrade of Legal Files Software. Rescheduled from 6/9/2017.Legal Files Support System not available for software push during the originally scheduled date and time.,Law users that are trying to access the Legal Files software.,ERP / SAP,,Keeping up to date with the latest version of the software.,Enhancement,Sharma Konkapaka,Upgrade the Legal Files Server with the latest software updates.,
,Completed,06/06/17 10:27 AM,web-form@smartsheet.com,Erin Keohane,CANCELED,06/16/17,11:00 am - 2:00 pm,Upgrade of Legal Files Software,Law users that are trying to access the Legal Files software.,ERP / SAP,,Keeping up to date with the latest version of the software.,Enhancement,Sharma Konkapaka,Upgrade the Legal FIles Server with the latest software update.,
,Completed,06/06/17 9:54 AM,web-form@smartsheet.com,Ethan Warren,No changes to MWRD equipment is needed,06/15/17,4:00 pm until 6:00 pm,Test and turn up of new internet circuit at Stickney.,"Internet browsing, and Email for plant personnel will be interrupted.  MobileIron, Polycom and Kara Company access will be interrupted.
LDAP authentication for Workforce, Skillsoft, Rave and Tririga servers will be interrupted.",Network Infrastructure,,To increase out internet bandwidth to provide better response to web based services and a better internet browsing experience.,Enhancement,Ethan Warren,"1) Install new circuit (AT&T) - Complete
2) Migrate all IP information to new service. (To be completed by AT&T engineer at time of turn up)
3) Physically move internet connection to new fiber delivery and test.
...

BACK OUT PLAN: 
....
Reverse steps listed above.",
,Completed,06/02/17 11:15 AM,web-form@smartsheet.com,ervin cheng,,06/12/17,3:30 p.m around 10 mins,Decommissioning of MOBWSUS,update services will be point to sccm instead of mobwsus,Network Operations (Server / SAN),,decommission of an old dl380 g5 server and reclaim vm licenses,Enhancement,ervin cheng,"1) shutdown mobwsus
2) shutdown host
...

BACK OUT PLAN: 
1) restart mobwsus
2) restart host",
,Completed,06/02/17 11:08 AM,web-form@smartsheet.com,ervin cheng,,06/08/17,6/8/2017 at 5:00 p.m for 1 hour,Increase storage on mob-vcenter host.  Create new disk array on host 10.18.100.60. Will required shutdown of host.,"The servers that is in mob-vcenter have to be shutdown as well as the host.  The servers are beta, mob-vcenter, SCCM01, SCCMDB, and sv-DHCPmob. Domain Controller, update server, and DHCP services will be unavailable.",Network Operations (Server / SAN),,Increase datastore and hard drive space for future growth.,Enhancement,ervin cheng,"1) shutdown all servers
2) Put in maintenance mode
3) shutdown host
4) create raid 5 on host
5) restart host
6) rescan host and create new datastore
7) test new datastore

BACK OUT PLAN: 
1) delete new raid
2) start host and start vm
3) test all vm and make sure all services are working",
,Completed,05/15/17 3:30 PM,web-form@smartsheet.com,Kevin Young,,06/02/17,"Bring SAP PRD down close of business on June 2, 2017 - June 4, 2017.",Applying SAP System hotpacks.,SAP PRD will be unavailable while applying the hotpack updates.,ERP / SAP,,Bring all SAP modules up to date with the current release levels.,Enhancement,Kevin Young,"1. Take a copy of SAP PRD prior to hotpack installation
2. Apply all hotpacks
3. Perform post hotpack processing
4. Have user testing on June 4, 2017 to validate the system
5. Open the system for general use for June 5, 2017.",
,Completed,05/22/17 4:34 PM,web-form@smartsheet.com,LaShun Osborn,,05/30/17,"Start time: 6pm, duration: 1 hour.",Decommission old DHCP servers (TLS01/MOB_BLMGR).,No expected impact. DHCP has been migrated to new DHCP environment.,Network Operations (Server / SAN),,Remove old entries in AD for DHCP servers as cleanup.,Security,Ervin Cheng,"1) Verify no remaining DHCP leases exist on old DHCP servers.
2) Deauthorize old DHCP server in Active Directory.
3) Verify old DHCP server removed from AD.
4) Shut down old DHCP server.
5) Repeat steps 1-4 for other old DHCP server.
...

BACK OUT PLAN: 
1) Power on old DHCP server.
2) Authorize DHCP server.",
,Completed,05/17/17 10:26 AM,web-form@smartsheet.com,JR - John Reichling,,05/25/17,4:15 pm,The Wsus GPO associated with MWRD-Workstations will be replaced with the new SCCM01 Wsus GPO policy which has been tested using ITD computers.,"Once implemented, client computers will install the SCCM client and silently install several packages including ( Local Admin account changes and Samanage Client)",Network Operations (Server / SAN),,"Rollout SCCM, Samanage Client, and Local Administrative Account(s) / Passwords",New Implementation,Tom McEnery,"1) Remove /unlink existing MOBWSUS server GPO policy 
2) Add / Link SCCM01 server GPO policy
3)
...

BACK OUT PLAN: 
.... Reverse action(s) if necessary",
,Completed,03/31/17 4:29 PM,web-form@smartsheet.com,John Reichling,SCCM -  Disable administrator ; create new admin & new password (90-day cycle),05/25/17,4:15 pm,VBS Script  to update the disable Local admin password on all machines in the MWRD-Workstations OU and create a new Admin user BOB,"Local Domain Workstations in the MWRD-Workstations OU, TBD if this is to apply to the Default Domain OU....(NOT Recommended)",Network Operations (Server / SAN),,Consolidate the 2 - 3 local admin passwords into a single one that is changed on a regular schedule.,Security,Hussein,"1)TBD
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,01/30/17 3:09 PM,web-form@smartsheet.com,Kevin Young,system down from 10:00pm - 2:00am,05/20/17,,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,05/23/17 9:18 AM,web-form@smartsheet.com,ervin cheng,,05/18/17,7 to 10 p.m.,MS Patching for all file servers,All file servers was patched with new microsoft updates,Network Operations (Server / SAN),,security and critical updates were apply to all file servers,Security,ervin cheng,"1. logon to file servers
2. click on the update patches
3. monitor and confirm all patches are installed
...

BACK OUT PLAN: 
1. restored failed file server
2. confirm and verify file server is operational",
,Completed,05/15/17 3:01 PM,web-form@smartsheet.com,Ervin Cheng,,05/18/17,"start time 7 p.m., duration 10 mins",Change NIC type from E1000e to VMNET 3.0 for the server webapps,"districtjobs.org Contract Application, CSO, web applications",Network Operations (Server / SAN),,VMware network improvement and functionality,Fix / Patch,Ervin Cheng,"1) Shutdown server
2) delete NICs, Recreate NICs with the new configuration and in type VMnet 3.0.
3) Test network
...

BACK OUT PLAN: 
1) delete new nic and recreate nic using old configuration.",
,Completed,05/12/17 5:51 PM,web-form@smartsheet.com,LaShun Osborn,NetOps/Network Infrastructure,05/18/17,"Start time: 3:45pm, duration: 1.5 hours",Enable DHCP scopes for plant locations on the new DHCP server environment.,No expected downtime. Clients & wireless access points at plant locations will be migrated to the new DHCP environment.,Multi-Team (Indicate groups in Additional Information),,Migrating remaining DHCP scopes to new DHCP environment.,New Implementation,Ervin Cheng,"1) Update IP helper addresses on plant routers (Network Infrastructure.)
2) Add scope exclusions to old DHCP servers.
3) Export lease info from old Stickney DHCP server via PowerShell
4) Import lease info into new DHCP server via PowerShell
5) Activate scopes on new DHCP servers.
...

BACK OUT PLAN:
1.) Add scope exclusions on new DHCP servers.
2.) Remove scope exclusions on old DHCP servers
3.) Update IP helper addresses on affected routers (Network Infrastructure).....",
,Completed,05/16/17 2:58 PM,web-form@smartsheet.com,Ronald Thompson,Application Development,05/16/17,11:45am,Apply latest patch to iPACS production system.,The iPACS production system is impacted; users from M&R and Finance reside at the MOB downtown office and also at the,Multi-Team (Indicate groups in Additional Information),,Latest changes to iPACS production website will be put into place.,Fix / Patch,Ronald Thompson,"1)  Schedule time for patch application process
2) Apply patch to iPACS production system
3) Verify that system is available
4) Send email to user notifying that system is available
...

BACK OUT PLAN: 
1) Any issues will be referred to enfoTech",
,Completed,05/05/17 4:37 PM,web-form@smartsheet.com,LaShun Osborn,NetOps/Network Infrastructure,05/12/17,4:35pm (1 hour),Enable DHCP scopes for MOBA subnets (floors 1-7) on the new DHCP servers.,No expected downtime. Clients located in MOBA and downtown wireless access points will be migrated to the new DHCP server environment.,Multi-Team (Indicate groups in Additional Information),,Migrate remaining downtown DHCP clients to new DHCP environment.,New Implementation,Ervin Cheng,"1) Update IP helper addresses on affected downtown routers (Network Infrastructure.)
2) Add scope exclusions to old DHCP servers
3) Activate scopes on new DHCP servers.
...

BACK OUT PLAN: 
1.) Add scope exclusions on new DHCP servers.
2.) Remove scope exclusions on old DHCP servers
3.) Update IP helper addresses on affected routers (Network Infrastructure).....",
,Completed,05/09/17 1:54 PM,web-form@smartsheet.com,,Application Development,05/08/17,12:00-12:05,Deploy patch version 20170503 to LIMS production system.,"The iPACS production system was impacted. Users (M&R departement) are located in the plants (Stickney, Calumet, Egan) and downtown offices.",Multi-Team (Indicate groups in Additional Information),,Fix issue with bankruptcies in iPACS production database,Fix / Patch,Ronald Thompson,"1) Send email to notify and get clearance from supervisors to execute patch deployment
2) Run SQL scripts on iPACS production database
3) Notify applicable managers that scripts have been run and process has been completed.


BACK OUT PLAN: 
1. Any issues will be referred to enfoTech.",
,Completed,04/14/17 4:32 PM,web-form@smartsheet.com,M&R Department,Application Development Unit - LIMS/IPACS Team,05/03/17,11:30a-1:30p (down),"15-RFP-24 - LIMS, Task #1:  Integrate two instruments, a phenol scalar segmented flow analyzer instrument and a gas chromatograph instrument, into LIMS Production environment using Integration Manager.","LIMS Production System, label printers, and instrumentation.",Multi-Team (Indicate groups in Additional Information),,The phenol scalar segmented flow analyzer and gas chromatograph instruments will interface with the SampleManager LIMS Production System.,New Implementation,Roger Smith / Chentile Jackson,"1) Notify Stickney, Calumet, and Egan Lab Managers
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,04/14/17 4:53 PM,web-form@smartsheet.com,M&R Department,Application Development - LIMS/IPACS Team,05/03/17,11:30a-1:30p (down),"15-RFP-24 - LIMS Task #3:  Modify District Report Writer so that it displays the less than symbol, ""<"", for components that are below the reporting limit.  Import the District Report Writer modifications to LIMS Production System.",Login to LIMS Production System,Multi-Team (Indicate groups in Additional Information),,"The District Report Writer (CBOD Report) the Lb/Day column for Calumet, O'Brien, and Stickney plants should have '< value' displayed instead of <<0.",Fix / Patch,Roger Smith / Chentile Jackson,"1) 
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,04/14/17 4:38 PM,web-form@smartsheet.com,M&R Department,Application Development - LIMS/IPACS Team,05/03/17,11:30a-1:30p (down),15-RFP-24 - LIMS Task #2:  Add CAS number field to tables referencing Organics compounds.  Interface this change with the IPACS System.,"LIMS Production System, label printers, and instruments.
IPACS Production System",Multi-Team (Indicate groups in Additional Information),,The interface between SampleManager LIMS and IPACS will match results by CAS number.,Enhancement,Roger Smith / Chentile Jackson,"1) 
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,04/27/17 8:27 AM,web-form@smartsheet.com,LaShun Osborn,,04/30/17,10am (1 hour).,Enable DHCP scope for 10.12.xx.xx subnet (4th floor MOB) on the new DHCP servers.,No expected downtime.,Network Operations (Server / SAN),,DHCP leases for the 10.12.xx.xx subnet (4th floor MOB) will be issued by the new DHCP servers for testing.,New Implementation,Ervin Cheng,"1) Connect to old DHCP server (MOB_BLMGR). 
2) Select 10.12.0.0 scope. Deactivate scope.
3) Repeat steps 1-2 on the other old DHCP server (TLS01)
4) Connect to new MOB DHCP server (sv-dhcpmob).
5) Activate10.12.0.0 scope on new server.
6) Ensure scope change is replicated to WSW DHCP server (sv-dhcpwsw)


...

BACK OUT PLAN: 
1) Deactivate 10.12.xx.xx scope on new DHCP servers.
2) Activate 10.12.xx.xx scope on original DHCP servers.
....",
,Completed,04/27/17 8:04 AM,web-form@smartsheet.com,LaShun Osborn,,04/28/17,5:00pm (30 minutes),Adding IP helper addresses for new DHCP servers on the 10.12.xx.xx subnet (MOB 4th floor.),No expected impact. No additional changes being made to DHCP servers or existing IP helper address entries.,Network Infrastructure,,Allow for routing to new DHCP servers for subnet 10.12.xx.xx for testing.,New Implementation,Ethan Warren,"1) Connect to router(s).
2) Run Cisco command to add the (2) additional IP helper addresses.

...

BACK OUT PLAN: 
1.) Remove newly added IP helper address entries.
....",
,Completed,04/14/17 8:15 PM,web-form@smartsheet.com,Ethan Warren,Updated to include New Ironport VM now in production,04/28/17,7:00pm - 8:00pm,FireEye and Ironport security patches.,None,Network Infrastructure,,Upgrade FireEye appliances to latest security/OS patch level.,Fix / Patch,Ethan Warren,"1) Download new OS code
2) Install new code
3)
...

BACK OUT PLAN: 
....
If failure, appliance is configured to fail-open to allow normal traffic flow.",
,Completed,01/30/17 3:08 PM,web-form@smartsheet.com,Kevin Young,"system down from 10:00pm - 2:00am. 
Bob to Confirm",04/22/17,,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise",ERP / SAP,,Compliance with recommended Windows Server reboots,Preventive,Kevin Young,"Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2",
,Completed,04/21/17 10:57 AM,web-form@smartsheet.com,Ronald Thompson,Bob to Confirm,04/20/17,12noon - 12:30pm,"Modified code for Lachat instrument download program will be moved to the LIMS production system. A new database table, LACH_CONFIG will also be created in the LIMS production database.","This change does not have a system-wide effect and does not require the system to be taken offline. Only the users of the Lachat instrument download program are affected. These users reside in the ALD laboratories at the Stickney, Calumet and Egan plants.",Multi-Team (Indicate groups in Additional Information),,The changes to the Lachat instrument download program will increase the efficiency of ALD laboratory operations by greatly reducing the time it takes to make changes to Lachat export instrument template configuration.,Enhancement,Ronald Thompson,"1) Back-up existing code used for Lachat instrument download
2) Move modified Lachat instrument download code to production system
3) Create LACH_CONFIG table in LIMS production database
4) Copy LACH_CONFIG table data from development to production database
...

BACK OUT PLAN: 
1) Move backup of Lachat instrument download code to production system",
,Completed,04/14/17 12:47 PM,web-form@smartsheet.com,Ethan Warren,,04/20/17,4:30pm - 7:00pm,Replace DMZ switches located at SWRP.,"Interruption to Citrix, Polycom Video Conferencing, MobileIron, Email and internet browsing at for all plant locations.",Network Infrastructure,,Replace aging Cisco switches.,New Implementation,Ethan Warren,"1) Replicate programming from current switches to the new switches.
2) Move up-links from existing switches to new switches.  Ensure DMZ network visibility.
3) Move existing server/appliance connections to new switches and test accessibility.
...

BACK OUT PLAN: 
....
1) If switch up-links do not produce connectivity, revert back to original switch connections.
2) If server/appliances are not accessible, revert back to original switch connections.",
